index,date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
1,8/2/2021,Acef Ena Health Centre,VUv3MNGbLMe,84476,USAID Jamii Tekelezi,Kenya,Embu,1,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8/9/2021,Acef Ena Health Centre,VUv3MNGbLMe,84476,USAID Jamii Tekelezi,Kenya,Embu,1,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8/16/2021,Acef Ena Health Centre,VUv3MNGbLMe,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,7,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8/23/2021,Acef Ena Health Centre,VUv3MNGbLMe,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,10,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8/30/2021,Acef Ena Health Centre,VUv3MNGbLMe,84476,USAID Jamii Tekelezi,Kenya,Embu,1,0,9,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,6,216,101,2,6,55,19,1,0,161,82,0,0,0,0
6,8/2/2021,CCS Kiritiri Clinic,fe5HPFmdgu6,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8/9/2021,CCS Kiritiri Clinic,fe5HPFmdgu6,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8/16/2021,CCS Kiritiri Clinic,fe5HPFmdgu6,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8/23/2021,CCS Kiritiri Clinic,fe5HPFmdgu6,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8/30/2021,CCS Kiritiri Clinic,fe5HPFmdgu6,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8/2/2021,Dallas Dispensary,sRdAeQShDlw,84476,USAID Jamii Tekelezi,Kenya,Embu,1,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8/9/2021,Dallas Dispensary,sRdAeQShDlw,84476,USAID Jamii Tekelezi,Kenya,Embu,1,1,26,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8/16/2021,Dallas Dispensary,sRdAeQShDlw,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,7,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8/23/2021,Dallas Dispensary,sRdAeQShDlw,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,29,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8/30/2021,Dallas Dispensary,sRdAeQShDlw,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,10,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,5,160,65,7,5,114,49,0,0,46,16,0,0,0,0
16,8/2/2021,Embu Children Clinic,qk04xUaN0fK,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8/9/2021,Embu Children Clinic,qk04xUaN0fK,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,8/16/2021,Embu Children Clinic,qk04xUaN0fK,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8/23/2021,Embu Children Clinic,qk04xUaN0fK,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8/30/2021,Embu Children Clinic,qk04xUaN0fK,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,136,55,3,3,136,55,0,0,0,0,0,0,0,0
21,8/2/2021,Embu Provincial General Hospital (PGH),IROLxe1CWyV,84476,USAID Jamii Tekelezi,Kenya,Embu,0,1,142,44,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8/9/2021,Embu Provincial General Hospital (PGH),IROLxe1CWyV,84476,USAID Jamii Tekelezi,Kenya,Embu,0,1,130,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8/16/2021,Embu Provincial General Hospital (PGH),IROLxe1CWyV,84476,USAID Jamii Tekelezi,Kenya,Embu,4,0,143,31,0,0,3,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8/23/2021,Embu Provincial General Hospital (PGH),IROLxe1CWyV,84476,USAID Jamii Tekelezi,Kenya,Embu,1,1,120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8/30/2021,Embu Provincial General Hospital (PGH),IROLxe1CWyV,84476,USAID Jamii Tekelezi,Kenya,Embu,1,1,112,11,0,0,2,1,0,0,3,1,0,0,0,0,3,0,39,40,1629,735,29,26,438,141,10,14,1188,591,0,0,3,3
26,8/2/2021,EMMANUEL KIGARI (ACK) Dispensary,Ii5P8lU4YJs,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,8/9/2021,EMMANUEL KIGARI (ACK) Dispensary,Ii5P8lU4YJs,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,8/16/2021,EMMANUEL KIGARI (ACK) Dispensary,Ii5P8lU4YJs,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
