index,date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
1,10/4/2021,Afraha Maternity and Nursing Home,iiouXbdQUd4,84478,USAID Tujenge Jamii Activity,Kenya,Nakuru,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10/4/2021,Algadir Medical Clinic,KjxuN3y2zLL,84478,USAID Tujenge Jamii Activity,Kenya,Nakuru,2,0,12,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10/4/2021,Annex Hospital (Nakuru),HB8bMpxgcD7,84478,USAID Tujenge Jamii Activity,Kenya,Nakuru,0,0,6,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10/4/2021,Archers Post Health Centre,LPm2vlZmCFh,84478,USAID Tujenge Jamii Activity,Kenya,Samburu,1,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10/4/2021,Archers Post Sub-County Hospital,C57XqodlNqa,84478,USAID Tujenge Jamii Activity,Kenya,Samburu,2,1,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10/4/2021,ASN Upendo Village Dispensary,ldQsaXHm9nH,84478,USAID Tujenge Jamii Activity,Kenya,Nakuru,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10/4/2021,Bahati Dispensary,Goa2gnvQpcf,84478,USAID Tujenge Jamii Activity,Kenya,Nakuru,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10/4/2021,Bahati District Hospital,WuLKOs2F6k2,84478,USAID Tujenge Jamii Activity,Kenya,Nakuru,2,2,12,11,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10/4/2021,Baragoi Sub-District Hospital,DU2xmzRy1XM,84478,USAID Tujenge Jamii Activity,Kenya,Samburu,0,0,32,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10/4/2021,Barsaloi GK Dispensary,qAyhce3x6Hq,84478,USAID Tujenge Jamii Activity,Kenya,Samburu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10/4/2021,Barwessa HealthCentre,gtUQIME9Wtc,84478,USAID Tujenge Jamii Activity,Kenya,Baringo,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10/4/2021,Benmac Clinic,GVJXZMApfV3,84478,USAID Tujenge Jamii Activity,Kenya,Nakuru,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10/4/2021,Bennedict Xvi Dispensary,Jm85dyoKzqD,84478,USAID Tujenge Jamii Activity,Kenya,Laikipia,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10/4/2021,Bethsaida (AIC) Clinic (Nakuru),GFH7xCIC68Q,84478,USAID Tujenge Jamii Activity,Kenya,Nakuru,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
