index,date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
1,2/28/2022,Aboloi Dispensary,VmemRezEHJf,160356,USAID Dumisha Afya,Kenya,Busia,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2/28/2022,Ace Africa (k) Wellness Centre,nEwHdsmfYro,160356,USAID Dumisha Afya,Kenya,Bungoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2/28/2022,Ageng'a Dispensary (Samia),FXx0gjbN8Gh,160356,USAID Dumisha Afya,Kenya,Busia,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2/28/2022,Akichelesit Dispensary,jENzK3UPZdA,160356,USAID Dumisha Afya,Kenya,Busia,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2/28/2022,Akukuranut Drop Off Point,b4KYUIrpGLo,160356,USAID Dumisha Afya,Kenya,Busia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2/28/2022,Alupe Sub County Referral Hospital,YAAfNu5mPkN,160356,USAID Dumisha Afya,Kenya,Busia,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2/28/2022,Amaase Dispensary,y970BRCblm2,160356,USAID Dumisha Afya,Kenya,Busia,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2/28/2022,Among'ura Community Dispensary,CAqv1omGcks,160356,USAID Dumisha Afya,Kenya,Busia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2/28/2022,Amukura Health Centre,lPtKlICjPxX,160356,USAID Dumisha Afya,Kenya,Busia,1,0,19,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2/28/2022,Amukura Mission Health Centre,t7QovwGLDdG,160356,USAID Dumisha Afya,Kenya,Busia,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
