index,date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
1,4/5/2021,(Mkuyuni) David Kariuki Medical Centre,tmykRkKiWjH,17719,APHIAPlus Pwani,Kenya,Kilifi,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4/5/2021,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4/5/2021,AAR Gwh Health Care Ltd,jHTAFl3Gyj9,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4/5/2021,Aboloi Dispensary,VmemRezEHJf,14012,AMPATHPlus,Kenya,Busia County,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4/5/2021,Acef Ena Health Centre,VUv3MNGbLMe,17718,Interchurch Medical Assistance. Inc,Kenya,Embu,2,0,6,4,0,0,1,0,0,0,1,0,,,0,0,0,0,,,,,,,,,,,,,,,,
6,4/5/2021,Adu Dispensary,yGyvw1GcZLR,17719,APHIAPlus Pwani,Kenya,Kilifi,1,,27,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4/5/2021,Adventist Centre For Care and Support (Westlands),vgErg8mCZTj,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4/5/2021,Afraha Maternity and Nursing Home,iiouXbdQUd4,84478,USAID Tujenge Jamii Activity,Kenya,Nakuru,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4/5/2021,Afwani Medical Centre,rnxhdEg940w,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4/5/2021,Ageng'a Dispensary (Samia),FXx0gjbN8Gh,14012,AMPATHPlus,Kenya,Busia County,1,2,11,3,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,
11,4/5/2021,Agha Khan Hospital,y5vFQamRzsh,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4/5/2021,Ahmadiya Hospital,zK5jhRlWfuF,14012,AMPATHPlus,Kenya,Kakamega County,,,6,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,
13,4/5/2021,AIC Biribiriet Dispensary,gyY8uDEGB4j,14012,AMPATHPlus,Kenya,Trans-Nzoia County,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4/5/2021,AIC Malanga,Yjece7dQOix,17719,APHIAPlus Pwani,Kenya,Kilifi,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4/5/2021,Ainabkoi (RCEA) Health Centre,puC1BTI46Yu,14012,AMPATHPlus,Kenya,Uasin Gishu County,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4/5/2021,Airport Dispensary (Kisumu),UBIvrvRnKrO,18494,Afya Ziwani,Kenya,Kisumu County,0,0,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
