index,date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
1,3/1/2021,(Mkuyuni) David Kariuki Medical Centre,tmykRkKiWjH,17719,APHIAPlus Pwani,Kenya,Kilifi,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3/1/2021,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3/1/2021,AAR Gwh Health Care Ltd,jHTAFl3Gyj9,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3/1/2021,Aboloi Dispensary,VmemRezEHJf,14012,AMPATHPlus,Kenya,Busia County,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3/1/2021,Acef E0 Health Centre,VUv3MNGbLMe,17718,Interchurch Medical Assistance. Inc,Kenya,Embu,0,1,9,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/1/2021,Adu Dispensary,yGyvw1GcZLR,17719,APHIAPlus Pwani,Kenya,Kilifi,0,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3/1/2021,Adventist Centre For Care and Support (Westlands),vgErg8mCZTj,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3/1/2021,Afraha Maternity and Nursing Home,iiouXbdQUd4,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3/1/2021,Afwani Medical Centre,rnxhdEg940w,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3/1/2021,Ageng'a Dispensary (Samia),FXx0gjbN8Gh,14012,AMPATHPlus,Kenya,Busia County,1,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3/1/2021,Agha Khan Hospital,y5vFQamRzsh,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/1/2021,Ahmadiya Hospital,zK5jhRlWfuF,14012,AMPATHPlus,Kenya,Kakamega County,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/1/2021,AIC Biribiriet Dispensary,gyY8uDEGB4j,14012,AMPATHPlus,Kenya,Trans-Nzoia County,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3/1/2021,AIC Malanga,Yjece7dQOix,17719,APHIAPlus Pwani,Kenya,Kilifi,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3/1/2021,Ai0bkoi (RCEA) Health Centre,puC1BTI46Yu,14012,AMPATHPlus,Kenya,Uasin Gishu County,0,0,14,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3/1/2021,Akachiu Health Centre,YGtY9QtkwrW,17718,Interchurch Medical Assistance. Inc,Kenya,Meru,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3/1/2021,Akemo Medical Clinic,aNtThTaTYQp,17719,APHIAPlus Pwani,Kenya,Mombasa,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3/1/2021,Akichelesit Dispensary,jENzK3UPZdA,14012,AMPATHPlus,Kenya,Busia County,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
