index,date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
1,9/6/2021,Aboloi Dispensary,VmemRezEHJf,14012,AMPATHPlus,Kenya,Busia County,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9/13/2021,Aboloi Dispensary,VmemRezEHJf,14012,AMPATHPlus,Kenya,Busia County,0,0,6,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9/20/2021,Aboloi Dispensary,VmemRezEHJf,14012,AMPATHPlus,Kenya,Busia County,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9/27/2021,Aboloi Dispensary,VmemRezEHJf,14012,AMPATHPlus,Kenya,Busia County,0,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,3,38,13,4,3,29,6,0,0,9,7,0,0,0,0
5,9/6/2021,Ageng'a Dispensary (Samia),FXx0gjbN8Gh,14012,AMPATHPlus,Kenya,Busia County,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9/13/2021,Ageng'a Dispensary (Samia),FXx0gjbN8Gh,14012,AMPATHPlus,Kenya,Busia County,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9/20/2021,Ageng'a Dispensary (Samia),FXx0gjbN8Gh,14012,AMPATHPlus,Kenya,Busia County,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9/27/2021,Ageng'a Dispensary (Samia),FXx0gjbN8Gh,14012,AMPATHPlus,Kenya,Busia County,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,52,19,1,3,48,15,0,0,4,4,0,0,0,0
9,9/6/2021,AIC Biribiriet Dispensary,gyY8uDEGB4j,14012,AMPATHPlus,Kenya,Trans-Nzoia County,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9/13/2021,AIC Biribiriet Dispensary,gyY8uDEGB4j,14012,AMPATHPlus,Kenya,Trans-Nzoia County,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,9/20/2021,AIC Biribiriet Dispensary,gyY8uDEGB4j,14012,AMPATHPlus,Kenya,Trans-Nzoia County,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9/27/2021,AIC Biribiriet Dispensary,gyY8uDEGB4j,14012,AMPATHPlus,Kenya,Trans-Nzoia County,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9/6/2021,Ainabkoi (RCEA) Health Centre,puC1BTI46Yu,14012,AMPATHPlus,Kenya,Uasin Gishu County,1,0,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9/13/2021,Ainabkoi (RCEA) Health Centre,puC1BTI46Yu,14012,AMPATHPlus,Kenya,Uasin Gishu County,0,0,7,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9/20/2021,Ainabkoi (RCEA) Health Centre,puC1BTI46Yu,14012,AMPATHPlus,Kenya,Uasin Gishu County,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9/27/2021,Ainabkoi (RCEA) Health Centre,puC1BTI46Yu,14012,AMPATHPlus,Kenya,Uasin Gishu County,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,9/6/2021,Akichelesit Dispensary,jENzK3UPZdA,14012,AMPATHPlus,Kenya,Busia County,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9/13/2021,Akichelesit Dispensary,jENzK3UPZdA,14012,AMPATHPlus,Kenya,Busia County,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9/20/2021,Akichelesit Dispensary,jENzK3UPZdA,14012,AMPATHPlus,Kenya,Busia County,0,0,5,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9/27/2021,Akichelesit Dispensary,jENzK3UPZdA,14012,AMPATHPlus,Kenya,Busia County,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,5,1,0,11,2,0,0,5,2,0,0,0,0
21,9/6/2021,Akukuranut Drop Off Point,b4KYUIrpGLo,14012,AMPATHPlus,Kenya,Busia County,0,0,12,4,0,0,1,0,0,0,1,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/13/2021,Akukuranut Drop Off Point,b4KYUIrpGLo,14012,AMPATHPlus,Kenya,Busia County,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,9/20/2021,Akukuranut Drop Off Point,b4KYUIrpGLo,14012,AMPATHPlus,Kenya,Busia County,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,9/27/2021,Akukuranut Drop Off Point,b4KYUIrpGLo,14012,AMPATHPlus,Kenya,Busia County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,24,1,0,0,8,1,0,0,16,0,0,0,0,0
25,9/6/2021,Alale (AIC) Health Centre,IWHB63WvHEE,14012,AMPATHPlus,Kenya,West Pokot County,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9/13/2021,Alale (AIC) Health Centre,IWHB63WvHEE,14012,AMPATHPlus,Kenya,West Pokot County,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,9/20/2021,Alale (AIC) Health Centre,IWHB63WvHEE,14012,AMPATHPlus,Kenya,West Pokot County,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/27/2021,Alale (AIC) Health Centre,IWHB63WvHEE,14012,AMPATHPlus,Kenya,West Pokot County,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,9/6/2021,Alale Health Centre,PicT9BT2EVv,14012,AMPATHPlus,Kenya,West Pokot County,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9/13/2021,Alale Health Centre,PicT9BT2EVv,14012,AMPATHPlus,Kenya,West Pokot County,1,0,7,9,0,0,1,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,9/20/2021,Alale Health Centre,PicT9BT2EVv,14012,AMPATHPlus,Kenya,West Pokot County,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9/27/2021,Alale Health Centre,PicT9BT2EVv,14012,AMPATHPlus,Kenya,West Pokot County,0,0,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,17,20,1,0,1,3,0,0,16,15,0,0,0,0
33,9/6/2021,Alphima Medical Clinic,vIEUICFg2ax,14012,AMPATHPlus,Kenya,Uasin Gishu County,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,9/13/2021,Alphima Medical Clinic,vIEUICFg2ax,14012,AMPATHPlus,Kenya,Uasin Gishu County,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,9/20/2021,Alphima Medical Clinic,vIEUICFg2ax,14012,AMPATHPlus,Kenya,Uasin Gishu County,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9/27/2021,Alphima Medical Clinic,vIEUICFg2ax,14012,AMPATHPlus,Kenya,Uasin Gishu County,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,49,0,0,11,1,0,0,73,47,0,0,0,0
37,9/6/2021,Alupe Sub County Referral Hospital,YAAfNu5mPkN,14012,AMPATHPlus,Kenya,Busia County,3,1,18,6,1,0,2,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,9/13/2021,Alupe Sub County Referral Hospital,YAAfNu5mPkN,14012,AMPATHPlus,Kenya,Busia County,2,1,18,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,9/20/2021,Alupe Sub County Referral Hospital,YAAfNu5mPkN,14012,AMPATHPlus,Kenya,Busia County,3,2,14,7,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9/27/2021,Alupe Sub County Referral Hospital,YAAfNu5mPkN,14012,AMPATHPlus,Kenya,Busia County,2,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,28,865,451,31,28,113,99,0,0,747,351,0,0,0,0
41,9/6/2021,Amaase Dispensary,y970BRCblm2,14012,AMPATHPlus,Kenya,Busia County,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,9/13/2021,Amaase Dispensary,y970BRCblm2,14012,AMPATHPlus,Kenya,Busia County,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,9/20/2021,Amaase Dispensary,y970BRCblm2,14012,AMPATHPlus,Kenya,Busia County,1,0,11,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9/27/2021,Amaase Dispensary,y970BRCblm2,14012,AMPATHPlus,Kenya,Busia County,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,8,139,74,10,7,84,45,0,0,53,26,0,0,0,0
45,9/6/2021,Amakuriat Dispensary,f6pRoNrH31Q,14012,AMPATHPlus,Kenya,West Pokot County,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,9/13/2021,Amakuriat Dispensary,f6pRoNrH31Q,14012,AMPATHPlus,Kenya,West Pokot County,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9/20/2021,Amakuriat Dispensary,f6pRoNrH31Q,14012,AMPATHPlus,Kenya,West Pokot County,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,9/27/2021,Amakuriat Dispensary,f6pRoNrH31Q,14012,AMPATHPlus,Kenya,West Pokot County,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,9,0,2,4,0,0,0,23,9,0,0,0,0
49,9/6/2021,Among'ura Community Dispensary,CAqv1omGcks,14012,AMPATHPlus,Kenya,Busia County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9/13/2021,Among'ura Community Dispensary,CAqv1omGcks,14012,AMPATHPlus,Kenya,Busia County,2,0,12,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,9/20/2021,Among'ura Community Dispensary,CAqv1omGcks,14012,AMPATHPlus,Kenya,Busia County,0,1,20,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,9/27/2021,Among'ura Community Dispensary,CAqv1omGcks,14012,AMPATHPlus,Kenya,Busia County,0,0,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,71,25,1,2,49,16,0,0,20,9,0,0,0,0
53,9/6/2021,Amukura Health Centre,lPtKlICjPxX,14012,AMPATHPlus,Kenya,Busia County,1,2,30,26,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,9/13/2021,Amukura Health Centre,lPtKlICjPxX,14012,AMPATHPlus,Kenya,Busia County,3,7,21,11,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,9/20/2021,Amukura Health Centre,lPtKlICjPxX,14012,AMPATHPlus,Kenya,Busia County,2,0,19,14,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,9/27/2021,Amukura Health Centre,lPtKlICjPxX,14012,AMPATHPlus,Kenya,Busia County,6,5,25,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,26,23,703,346,9,5,44,33,17,18,657,310,0,0,0,0
57,9/6/2021,Amukura Mission Health Centre,t7QovwGLDdG,14012,AMPATHPlus,Kenya,Busia County,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,9/13/2021,Amukura Mission Health Centre,t7QovwGLDdG,14012,AMPATHPlus,Kenya,Busia County,1,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,9/20/2021,Amukura Mission Health Centre,t7QovwGLDdG,14012,AMPATHPlus,Kenya,Busia County,1,0,11,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,9/27/2021,Amukura Mission Health Centre,t7QovwGLDdG,14012,AMPATHPlus,Kenya,Busia County,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,80,28,3,3,20,9,0,0,60,19,0,0,0,0
61,9/6/2021,Andersen Medical Centre,TddcNdoxqhp,14012,AMPATHPlus,Kenya,Trans-Nzoia County,0,4,43,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,9/13/2021,Andersen Medical Centre,TddcNdoxqhp,14012,AMPATHPlus,Kenya,Trans-Nzoia County,1,1,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,9/20/2021,Andersen Medical Centre,TddcNdoxqhp,14012,AMPATHPlus,Kenya,Trans-Nzoia County,1,3,14,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,9/27/2021,Andersen Medical Centre,TddcNdoxqhp,14012,AMPATHPlus,Kenya,Trans-Nzoia County,0,3,15,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1,12,13,301,144,11,13,80,31,1,0,218,113,0,0,2,0
65,9/6/2021,Angurai Health Centre,YEv8donVGqk,14012,AMPATHPlus,Kenya,Busia County,0,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,9/13/2021,Angurai Health Centre,YEv8donVGqk,14012,AMPATHPlus,Kenya,Busia County,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
