index,date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
1,7/5/2021,Acef Ena Health Centre,VUv3MNGbLMe,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,14,4,0,0,0,1,,,,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7/12/2021,Acef Ena Health Centre,VUv3MNGbLMe,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,15,7,0,0,0,1,,,,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7/19/2021,Acef Ena Health Centre,VUv3MNGbLMe,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,11,2,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7/26/2021,Acef Ena Health Centre,VUv3MNGbLMe,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,6,4,0,0,1,0,,,1,,,,,,,,3,5,213,101,2,5,55,19,1,0,158,82,0,0,0,0
5,7/5/2021,CCS Kiritiri Clinic,fe5HPFmdgu6,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,5,1,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7/12/2021,CCS Kiritiri Clinic,fe5HPFmdgu6,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,4,2,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7/19/2021,CCS Kiritiri Clinic,fe5HPFmdgu6,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,3,2,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7/26/2021,CCS Kiritiri Clinic,fe5HPFmdgu6,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,5,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7/5/2021,Dallas Dispensary,sRdAeQShDlw,84476,USAID Jamii Tekelezi,Kenya,Embu,1,0,24,5,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7/12/2021,Dallas Dispensary,sRdAeQShDlw,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,31,9,0,0,1,0,,,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7/19/2021,Dallas Dispensary,sRdAeQShDlw,84476,USAID Jamii Tekelezi,Kenya,Embu,0,2,45,11,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7/26/2021,Dallas Dispensary,sRdAeQShDlw,84476,USAID Jamii Tekelezi,Kenya,Embu,1,0,24,2,0,0,2,0,,,2,,,,,,,,6,5,160,64,6,5,114,49,0,0,46,15,0,0,0,0
13,7/5/2021,Embu Children Clinic,qk04xUaN0fK,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,4,1,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7/12/2021,Embu Children Clinic,qk04xUaN0fK,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,6,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,7/19/2021,Embu Children Clinic,qk04xUaN0fK,84476,USAID Jamii Tekelezi,Kenya,Embu,1,0,2,1,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7/26/2021,Embu Children Clinic,qk04xUaN0fK,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,0,2,0,0,0,0,,,,,,,,,,,3,3,136,55,3,3,136,55,0,0,0,0,0,0,0,0
17,7/5/2021,Embu Provincial General Hospital,IROLxe1CWyV,84476,USAID Jamii Tekelezi,Kenya,Embu,2,1,104,15,0,0,5,3,,,5,3,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7/12/2021,Embu Provincial General Hospital,IROLxe1CWyV,84476,USAID Jamii Tekelezi,Kenya,Embu,0,2,157,23,0,0,1,0,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7/19/2021,Embu Provincial General Hospital,IROLxe1CWyV,84476,USAID Jamii Tekelezi,Kenya,Embu,0,2,171,20,0,0,2,1,,,2,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7/26/2021,Embu Provincial General Hospital,IROLxe1CWyV,84476,USAID Jamii Tekelezi,Kenya,Embu,1,3,140,23,0,0,0,3,,,,3,,,,,,,39,41,1637,721,29,27,468,161,10,14,1166,557,0,0,3,3
21,7/5/2021,Emmanuel Kigari (ACK) Dispensary,Ii5P8lU4YJs,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,7/12/2021,Emmanuel Kigari (ACK) Dispensary,Ii5P8lU4YJs,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,7/19/2021,Emmanuel Kigari (ACK) Dispensary,Ii5P8lU4YJs,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,7/26/2021,Emmanuel Kigari (ACK) Dispensary,Ii5P8lU4YJs,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7/5/2021,Gachuriri Dispensary,ulvOUkZPOys,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7/12/2021,Gachuriri Dispensary,ulvOUkZPOys,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,1,1,0,0,1,1,0,0,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7/19/2021,Gachuriri Dispensary,ulvOUkZPOys,84476,USAID Jamii Tekelezi,Kenya,Embu,0,0,4,13,0,0,0,1,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
